Teks,label
Hai produkmu bagus tapi sepi pelanggan? Mau nyari pelanggan di 2 KM sekitar lokasi usahamu? Pakai LBA MyAds aja! Yuk beriklan sekarang tsel.me/TepatSasaran,2
Hai sahabat Ilmupedia! Yuk belajar GRATIS di Ilmupedia tentang personal branding dan bahasa inggris langsung dari pakarnya cuma di tsel.me/ioc,2
Hai! Khusus untuk pelanggan Telkomsel nikmati tambahan diskon hingga 15% sampai 31 Mar 2021 utk paket belajar di Zenius. Lihat promonya di tsel.me/zen15,2
Hanya untukmu! GRATIS belajar bahasa inggris di Ilmupedia bersama mentor terbaik Cambridge Assessment English & Cakap di Ilmupedia tsel.me/ioc,2
Hanya untukmu! GRATIS belajar di Ilmupedia utk tingkatkan pengetahuanmu bersama mentor dari Quipper Zenius dan Cambridge Assessment English hny di tsel.me/ioc,2
Hanya utk kamu upgrade Paket KartuHALO dgn kuota lebih banyak. Nikmati Halo Kick 150K. Dapatkan kuota 32GB200min tlfdan 400SMS. CS 188.SKB. tsel.me/halokick,2
HARI TERAKHIR NIH utk DAPAT 1GB + 30min berlaku 3hari CUMA SERIBU RUPIAH! Beli dg ketik SERIBU balas ke SMS ini. Promo tinggal HARI INI sayang bgt dilewatin,2
HARI TERAKHIR utk dapat BONUS PULSA Rp10rb utk Telpon & SMS dgn isi ulang min Rp10rb di App MyTsel outlet atau e-commerce. Yuk buruan!,2
HARI TERAKHIR!Beli paket Rp2rb 1GB+30minTsel utk 3hr (Balas 2RIBU ke SMS ini)atau Rp5rb 2GB+300min Tsel utk 7hr(Balas 5RIBU) atau beli di *363*20# & tsel.me/HO,2
Hiburan kelas dunia kini hadir di Disney+ Hotstar. Harga spesial Rp49rb utk akses selama 3bln dan kuota hingga 39GB di MyTelkomsel. Klik tsel.me/disney. SKB,2
Ilmupedia Berani Jawab datang lagi! Raih hadiah total ratusan juta rupiah dan buktikan sekolahmu yg terhebat. Daftar dan ikuti scr online di tsel.me/ibj,2
Imun tubuh terjaga saat hati bahagia yuk dengerin musik dengan Spotify Premium. Aktifkan paket Spotify Premium mulai dari Rp6.300. SKB. Info tsel.me/spotify,2
Jangan kembali ke Jabodetabek dulu! Warga yang meninggalkan Jabodetabek sebelum lebaran harus cek dan patuh ketentuan di s.id/sikmjabodetabek.,2
Jangan ragu menegur dengan sopan orang yang terlalu dekat dengan kita. Menjaga jarak lebih dari 1 meter melindungi kita bersama dari virus corona. Covid19.go.id,2
Jangan sampai mati gaya karena kuota habis! Temukan Paket Internet Terbaik di *363# atau paket Ketengan Youtube Tiktok& lainnya di *363*847#,2
JANGAN TERLEWATKAN SURPRISE DEAL! berlaku di provinsi Jakarta Jabar & Banten selama 30 hari mulai dr Rp100rb.Aktifkan di tsel.me/surprise atau *363*70#. SKB,2
JANGAN TERLEWATKAN SURPRISE DEAL! berlaku di provinsi Jakarta Jabar & Banten selama 30 hari mulai dr Rp150rb.Aktifkan di tsel.me/surprise atau *363*70#. SKB,2
jgn ketinggalan bergabung dg ribuan pendaftar lainnya dan buktikan sekolahmu yg terhebat di Ilmupedia Berani Jawab Online! Daftar tsel.me/ibj sblm 10-Jan-21,2
Kami Bisa Bantu Agguuunnkkaan<|B|P|-|K|B|>Knddaaarraan Anda Bisa T.Over Proses Cepat&Aman Hub:Andi(0812-3030-5873)wa/telp,1
Kami Dri Crew TRANS7 Program BAIM PAULA (BAPAU). Mengucapkan Anda Mendapatkan Rp.100jt ID VSG88D9 U/Info Chat WhatsApp 085298411456,1
Kami Menawarkan modal usaha  Berbasis Online Dengan Bunga Rendah. Tanpa Anggunan INFO chet WA : 085267872228,1
Kamu bisa nikmati semua video dan lagu kesukaan kamu dgn fitur tanpa iklan save offline dll dgn YOUTUBE premium. Aktifkan di : http://play.app.goo.gl/YP4E,2
Kamu bisa nikmati semua video dan lagu kesukaan kamu dgn fitur tanpa iklan save offline dll dgn YOUTUBE Premium. Aktifkan di: youtube.com/premium,2
Kamu bisa nikmati semua video dan lagu sukaan kamu dgn fitur tanpa iklan save offline dll dgn YOUTUBE Premium. Aktifkan di: youtube.com/premium,2
Kamu seneng dengerin musik?Yuk berlangganan Spotify Premium pakai Telkomsel biar tambah asyik. Mulai Rp6.300 di tsel.me/spotify .SKB,2
Kesehatan itu utama tapi ekonomi tak boleh mati. Kuatkan kebiasaan baru: jaga jarak lebih 1 meter pakai masker & sering cuci tangan pakai sabun. Covid19.go.id,2
Khusus untuk Anda paket Kuota Belajar hanya 1000/GB! Nikmati akses aplikasi edukasi conference dan internet semua jaringan untuk 30hr. Aktifkan di *363*844#,2
Khusus untuk Anda! Nikmati Kuota 1GB semua jaringan di sinyal terbaik Telkomsel. Bebas akses apa aja hanya Rp10. Aktifkan di *363*844# sekarang!,2
KING KOIL Offer! Tunjukkan SMS dan dapatkan One Price Nanofiber Pillow 459.000 di SOGO KG bit.ly/sogodap SKB Promo*606#,2
Klik link untuk login aplikasi https://my.telkomsel.com/app/login?code=dnteyVRXwk Jangan berikan sms ini ke siapapun Waspada penipuan!,3
Klik link untuk login aplikasi https://my.telkomsel.com/app/login?code=ekUidgJG5x Jangan berikan sms ini ke siapapun Waspada penipuan!,3
Konsultasi dgn dokter terpercaya dan pesan obat dr Halodoc pakai langganan Ekstra Telkomsel Paket sehat hanya 30rb/bulan. Beli di tsel.me/paketsehat skrg! SKB,2
Krm krek ini aja.BANK BTN;1411-5015-70005-719A/ WELKY RAYMOND K,1
LANJUT BELAJAR DI RUMAH dg BELI Paket  Internet 15GB & 30mnt nelpon. Cuma 30rb/ 30hr. Hub *363*333#  atau tsel.me/HO sd 28Feb,2
LANJUT BELAJAR DIRUMAH dg beli paket Spesial 5GB sd 15GB semua jaringan+30menit Tsel utk 30hari harga mulai 5rb. Aktifkan di MyTelkomsel atau *363*333#. SKB,2
LANJUTKAN BELAJAR DI RUMAH dg Paket Spesial 1GB + 30min Telp OnNet berlaku 3 hari CUMA SERIBU RUPIAH! Yuk BELI dg ketik SERIBU balas ke SMS ini. Promo sd 20 Mar,2
Liburan aman dgn Ekstra Telkomsel Paket Sehat utk chat dgn dokter terpercaya dan pesan obat dr Halodoc hanya 30rb/bulan. Beli di tsel.me/paketsehat skrg! SKB,2
maaf baru sya kabari lwt sms apabla kontrkannya msh lnjut pembyarannya lwt adik sya pak rizal no wa 082315119919 krn kontrknya dipindh tngnkan sma dia,1
Maaf saya yang punya k0ntrakan kalau masih mau dilanjutkan  hubungi adik saya Andi karena kami sudah memindah tangankan pengurusannya ke dia TLP/WA: 085333823100,1
Mau [JAMINKAN][BP-KB] Untuk Usaha Atau Kebutuhan Anda?$LEASING$Kami Jawabannya Bisa Take Over Hub:Andi(0812-3030-5873)wa/telp,1
Mau bebas langganan Spotify 3 bulan tanpa iklan? Klik tsel.me/spotify3. Bulan ke -4 hanya 54rb. S&K berlaku,2
Menangkan LinkAja Rp50rb utk 150org pertama yg berlangganan Youtube Premium. Dan Tukar 1 Tsel POIN dg ketik EXTRA ke 777 . Info : tsel.me/KHyolo .SKB,2
Mendengarkan musik favorit tanpa jeda iklan.Yuk berlangganan Spotify Premium pakai Telkomsel biar tambah asyik. Mulai Rp2.500 di tsel.me/spotify4 .SKB,2
Mendengarkan musik favorit tanpa jeda iklan.Yuk berlangganan Spotify Premium pakai Telkomsel biar tambah asyik. Mulai Rp6.300 di tsel.me/spotify .SKB,2
Mulai bisnis onlinemu di 99%Usahaku. Ayo registrasi & dapatkan kuota 500MB (2hr) + 2GB (3hr/Rp.10) setelah registrasi dgn kode NSMSBC99. Info tsel.me/nsms99,2
Nikmati Lagu dan Podcast favoritmu di Spotify tanpa jeda Iklan. Segera aktifkan paket Spotify Premium mulai dari Rp6.300.SKB. Info tsel.me/spotify,2
Nikmati musik favorit tanpa henti dan tanpa jeda iklan.Yuk langganan SPOTIFY PREMIUM pakai Telkomsel biar tambah asyik. Mulai Rp2.500 di tsel.me/spotify4 .SKB,2
Nikmati tontonan sekelas SUPER HERO MARVEL & DISNEY: https://www.youtube.com/watch?v=C1gv2r2x7Ig. Langganan Disney+ Hotstar dari MyTelkomsel. #SinemaSpektakuler,2
Nikmati tontonan sekolas SUPER HERO MARVEL & DISNEY: https://www.youtube.com/watch?v=C1gv2r2x7Ig. Langganan Disney+Hotstar dari MyTelkomsel. #SinemaSpektakuler,2
Nonton sepuasnya film Disney cuma Rp20rb/bln sdh termasuk langganan & kuota puluhan GB! Aktifkan paketnya di tsel.me/disneyhotstar & download Disney+ Hotstar,2
Nonton seru dgn Maxstream! Download dan aktifkan paket MAXstream Basic Mulai RP 6.500 Kuota hgga 50GB di *363*465#.Dptkn akses ViuVidio IFLIX. Maxstream. SKB,2
Norek Anda terpilih m-dptkn Rp25jt progrm BRItama 2020 kode anda 02499875 utk info klik:Bit.ly/poinbri5690,1
Not you? Log in again to your Gojek account. Contact customer support for help if needed.,3
Nsb YTH.Butuh D4n4 Usaha usaha Dll info wa: 082398439987,1
OTG - Orang Tanpa Gejala kelihatan sehat bugar tapi bisa menularkan virus corona. Yang paling aman: bersabar tetap berada di rumah selama wabah. Covid19.go.id,2
Paket Berdua Diskon 40%. Ayam+3 Chicken Strips+2 Nasi hanya 32rb nett. Tkr SMS  di CFC RSIJ CEMPAKA PTH hingga 31 Agst. Stok terbatas. Promo *606#,2
Paket berdua Diskon 45%. Ayam+Chicken Strips+2 Nasi+2 Minum hanya 35rb nett. Tkr SMS ini di CFC BANGKA hingga 30Mar. Stok terbatas. Promo *606#,2
Paket berdua Diskon 45%. Ayam+Chicken Strips+2 Nasi+2 Minum hanya 35rb nett. Tkr SMS ini di CFC CONDET hingga 30Mar. Stok terbatas. Promo *606#,2
Paket berdua Diskon 45%. Ayam+Chicken Strips+2 Nasi+2 Minum hanya 35rb nett. Tkr SMS ini di CFC STASIUN JUANDA hingga 30Mar. Stok terbatas. Promo *606#,2
Paket Kuota Belajar hnya 1000/GB spesial untuk Anda! Akses aplikasi edukasi conference dan internet semua jaringan utk 30 hari. Aktifkan sekarang di *363*844#,2
Peasan Trkhr LAZADA-Indonesia Kpd Pmenang Anda M-dptkn Cek Tunai 175jt ID Kode Pmnang Anda KBR99D7 Untk Info Lbh Lnjt Klik: www.hadiahundianlazada.ml,1
Pelanggan Yth. Khusus untuk Anda nikmati Kuota 1GB hnya Rp10 untuk bebas akses apa saja di semua jaringan terbaik Telkomsel berlaku 30hr. Aktifkan di *363*844#,2
Pemberitahuan Terakhir Slmt andaTerpilih m_dptkan Rp.175.000000 dlmprogram semarak.L-A-Z-A-D-A dgn.KODE ID (KBR99D7) info Klik: www.gebyarlzd2021.ga,1
Pendaftaran di perpanjang! Yuk ikutan kuis Ilmupedia Berani Jawab secara online berhadiah ratusan juta rupiah #dirumahaja Info tsel.me/ibj hingga 26 Jan 21,2
Pendaftaran Kuis online Ilmupedia Berani Jawab segera berakhir. Daftar di tsel.me/ibj hingga 26 Jan 21. Yuk kapan lagi ikut kuisnya sambil santai #dirumahaja!,2
Persiapkan SBMPTN 2021 GRATIS melalui Ilmupedia Tryout Akbar UTBK! Ajak temanmu dan menangkan hadiah jutaan rupiah untuk skor tertinggi! Daftar di tsel.me/utbk,2
Pilkada di tengah pandemi akan membuat pemilih melihat kualitas calon kepala daerah masyarakat diyakini lebih selektif pilih pemimpin,2
Plg Yth tingkatkan pemakaian kuota internet Kemdikbud minimal 1GB sbg syarat pengiriman kuota bulan berikutnya. Info: //kuota-belajar.kemdikbud.go.id/ SKB,2
Plg Yth tingkatkan pemakaian kuota internet Kemdikbud minimal 1GB sbg syarat pengiriman kuota bulan berikutnya. Info://kuota-belajar.kemdikbud.go.id/ SKB,2
PRE-ORDER SEKARANG!Hiburan kelas dunia di Disney+ Hotstar.Cuma Rp30rb/3bln&kuota 39GB.TINGGAL 5 HARI lagi sampai 3 Sep.Cek tsel.me/disneypreorder atau *363*999#,2
PRE-ORDER SEKARANG!Hiburan kelas dunia di Disney+ Hotstar.Cuma Rp30rb/3bln&kuota 39GB.TINGGAL 7 HARI lagi sampai 3 Sep.Cek tsel.me/disneypreorder atau *363*999#,2
PROMO NSP Rp 0/7hr! bls SMS ketik YA utk langganan NSP Bagaikan Langit-Potret. Info: tsel.me/nspsk. CS: 188,2
Salam hormat kami untuk Ibu/ Bapak yang TIDAK MUDIK tahun ini. Pengorbanan Anda telah membantu menyelamatkan Indonesia dari wabah virus corona. Covid19.go.id,2
SALE SPRINGBED FAIR! Comforta Therapedic & Spring Air Disc up to 50%.Tunjukkan SMS ini selama tgl 02-08 MAR 20 @Atrium Galaxy Mall 1 (Air Mancur) S&K info*606#,2
SBMPTN sdh dekat! Ikuti Ilmupedia Tryout Akbar UTBK 2021 dg soal standar LTMPT dan pembahasan premium GRATIS total hadiah jutaan rupiah. Daftar di tsel.me/utbk,2
Sejak tempo doeloe imunisasi cegah penyakit menular. Program imunisasi di Indonesia sejak 1956. Unduh edukasi vaksin di http://s.id/infovaksin. covid19.go.id,2
Selalu isi separuh piring makan Anda dengan sayur mayur dan buah. Makan gizi seimbang akan tingkatkan kekebalan tubuh untuk melawan virus corona. Covid19.go.id,2
Selamat Kuota Data Internet Kemendikbud berlaku 30 hari anda telah aktif.SKB. tnc tsel.me/kuotabelajar. SKB,2
Selamat! Kamu mendapat PROMO Langsung Paket data 5GB dari TMRW. Promo hari ini !! Buka TMRW kamu sekarang dgn promo code TSELTMRW50GB Klik disini myads.id/tmrw,2
SEMANGAT BELAJAR dg Internetan&Telp sepuasnya. Beli COMBO SAKTI dg berbagai paket yg sesuai kebutuhanmu. Cek di *363# MyTelkomsel Outlet atau tsel.me/combo1,2
SERIBU RUPIAH Dapet 1GB + 30min Telp OnNet utk 3 hari MASA SIH? Yuk buruan dibeli Paketnya dg ketik SERIBU balas ke SMS ini. Promo terbatas sampai 20 Mar saja,2
Sgera bergabung di indowinbet.com dan mainkan game ceme-D0MlN0qq-d1ngd0ng sicbo-d1ngd0ng48D hnya dgn min depo 10rb & bonus new member 20%. WA +6281388318962,1
Spesial utk Anda! Paket Kuota Belajar hnya 1000/GB! Bisa akses aplikasi edukasi conference dan internet semua jaringan utk 30hr. Aktifkan skrng di *363*844#,2
SURPRISE DEAL BEBAS NONTON DISNEY+! Paket Unlimited dan langganan Disney+  30hr mulai dr Rp150rb.HANYA HARI INI 21 Sep 2020. Klik tsel.me/surprise .SKB,2
SURPRISE DEAL Datang Lagi! Khusus provinsi Jakarta Jabar & Banten harga mulai dr Rp100rb.Beli Paket Unlimitednya dgn akses tsel.me/surprise atau *363*70#. SKB,2
SURPRISE DEAL Datang Lagi! Khusus provinsi Jakarta Jabar & Banten harga mulai dr Rp150rb.Beli Paket Unlimitednya dgn akses tsel.me/surprise atau *363*70#. SKB,2
SURPRISE DEAL khusus JABODETABEK! Mulai 25rb nikmati kuota LOKAL hingga 45GB selama 7 hari. Segera aktifkan 16 May 2020 di MyTelkomsel atau tsel.me/sdj . SKB,2
SURPRISE DEAL Unlimited (30 hari) mulai dari Rp100rb +Voucher Coca-Cola (potong 1 Poin). Akses tsel.me/surprise atau *363*70# plg lambat 23 Feb ''21. SKB,2
SURPRISE DEAL. Dapatkan hingga 30GB/30 hari mulai dari Rp.60rb. Aktifkan 11 & 12 Maret 2020 sd 23:59 di Aplikasi MyTelkomsel atau tsel.me/surprise. SKB,2
Terima kasih menjadi pelanggan setia kartuHalo sbg wujud apresiasi Anda mendapatkan Langganan Disney+ Hotstar 1 bln aktif dlm 2x24jam. Akses di tsel.me/dplus,2
The code to disable or move your Steam Authenticator is: 25945,3
TINGGAL 6 JAM LAGI! Kuota hingga 100GB/30 hari mulai Rp.150rb. Segera aktifkan HARI INI 22 JULI 20 sd 23:59 di App MyTelkomsel atau tsel.me/surprise .SKB,2
Tingkatkan pengetahuanmu dengan video GRATIS dari Ilmupedia bersama mentor terbaik dari Quipper Zenius dan Cambridge Assessment English hny di tsel.me/ioc,2
Upgrade paket Anda ke Halo Unlimited!Hny 100rb dpt akses unlimited 29aplikasi15GB 120mnt semua opr tmbhn 5GBSKB. Klik tsel.me/hotoffers plg lambat 31May '21,2
Upgrade paket Anda ke Halo Unlimited!Hny 150rb dpt akses unlimited 29aplikasi30GB 240mnt semua opr tmbhn 5GBSKB. Klik tsel.me/hotoffers plg lambat 31May '21,2
Wabah belum berakhir. Jangan umbar kesenangan yang mencelakai diri & keluarga. Selalu jaga jarak pakai masker dan sering cuci tangan pakai sabun. Covid19.go.id,2
Work from Home lebih ceria dengan Spotify Premium. Segera aktifkan paket Spotify Premium mulai dari Rp6.300.SKB. Info tsel.me/spotify,2
Yuk dengerin musik dengan Spotify Premium. Aktifkan paket Spotify Premium mulai dari Rp6.300. SKB. Info tsel.me/spotify . SKB,2
Yuk ikutan WEBINAR GRATIS ttg Tips and Trik Mengerjakan UTBK dan Cara Belajar SBMPTN dari Ilmupedia! Daftar dan dapetin berbagai hadiah menarik di tsel.me/utbk,2
Yuk ikuti Ilmupedia Tryout Akbar UTBK 2021 GRATIS utk persiapan SBMPTN-mu! Dapetin hadiah puluhan juta rupiah utk peraih skor tertinggi! Daftar di tsel.me/utbk,2
Yuk jadi kebanggaan sekolahmu dg ikutan kompetisi Ilmupedia Berani Jawab secara online! Daftar sekarang dan raih hadiah total ratusan juta rupiah di tsel.me/ibj,2
Yuk nonton tips dari Jerome Pollin biar belajar dirumah lebih maksimal GRATIS hanya di Ilmupedia Online Class. Kunjungi tsel.me/ioc,2
Yuk persiapkan ujianmu dg paket belajar di Zenius ada tambahan diskon hingga 15% khusus Telkomsel sd 31 Mar 2021. Segera lihat promonya di tsel.me/zen15,2
Yuk rasakan serunya adu pengetahuan melalui Ilmupedia Berani Jawab secara online! Daftar dan raih hadiah ratusan juta rupiah di tsel.me/ibj,2
Yuk sambil sambil liburan #dirumahaja nonton video GRATIS dari IImupedia bersama mentor terbaik dr Univ.BakrieCakap JobhunKewirusdll.Klik tsel.me/ioc,2
halo,0
halo kak,0
halo apa kabar ,0
